leader,id,date,total_amount,group,Grant start date,start_month,type,location
Mao Zedong/Kim Il Sung,1,11/10/1953 - 11/27/1953,15,zedong,2/4/10,2,Summit,China
Mao Zedong/Kim Il Sung,2,9/28/1954 - 10/5/1954,15,zedong,8/3/09,8,Summit,China
Mao Zedong/Kim Il Sung,3,2/14/1958 - 2/21/1958,15,zedong,11/12/09,11,Summit,North Korea
Mao Zedong/Kim Il Sung,4,11/21/1958 - 11/28/1958,15,zedong,3/11/10,3,Summit,China
Mao Zedong/Kim Il Sung,5,9/25/1959 - 10/3/1959,15,zedong,3/11/10,3,Summit,China
Mao Zedong/Kim Il Sung,6,7/10/1961 - 7/15/1961,15,zedong,3/11/10,3,Summit,China
Mao Zedong/Kim Il Sung,7,6/17/62,1,zedong,3/11/10,2,Non-summit,China
Mao Zedong/Kim Il Sung,8,6/5/1963-6/17/1963,1,zedong,3/11/10,8,Non-summit,China
Mao Zedong/Kim Il Sung,9,9/15/1963 - 9/27/1963,1,zedong,2/4/10,11,Non-summit,North Korea
Mao Zedong/Kim Il Sung,10,05/11/1964 - 05/14/1964,1,zedong,8/3/09,3,Non-summit,China
Mao Zedong/Kim Il Sung,11,10/9/64,1,zedong,11/12/09,3,Non-summit,China
Mao Zedong/Kim Il Sung,12,6/28/1965 - 7/10/1965,1,zedong,3/11/10,3,Non-summit,China
Mao Zedong/Kim Il Sung,13,9/30/1969 - 9/31/1969,1,zedong,3/11/10,2,Non-summit,China
Mao Zedong/Kim Il Sung,14,4/5/1970 - 4/7/1970,15,zedong,3/11/10,8,Summit,North Korea
Mao Zedong/Kim Il Sung,15,06/24/1970-6/30/1970,1,zedong,3/11/10,11,Non-summit,China
Mao Zedong/Kim Il Sung,16,12/22/1972 - 12/25/1972,1,zedong,3/11/10,3,Non-summit,North Korea
Mao Zedong/Kim Il Sung,17,2/9/1973 - 2/14/1973,1,zedong,11/12/09,3,Non-summit,China
Mao Zedong/Kim Il Sung,18,09/08/1973?9/20/1973,1,zedong,3/11/10,3,Non-summit,North Korea
Mao Zedong/Kim Il Sung,19,6/9/74,1,zedong,3/11/10,2,Non-summit,China
Mao Zedong/Kim Il Sung,20,4/18/1975 - 4/26/1975,15,zedong,3/11/10,8,Summit,China
Mao Zedong/Kim Il Sung,21,9/24/1975-9/27/1975,1,zedong,3/11/10,11,Non-summit,North Korea
